position,asin,title,listing_description,format,price,previous_price,rating_out_of_5,rating_count,bought_in_past_month,badge,availability,product_url,image_url
1,B002G0BULU,"Brasso Metal Polish, 175 ml","Brasso Metal Polish, 175 ml",Liquid,"PKR 2,161.61",,4.6,1654,1K+ bought in past month,,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-175-ml/dp/B002G0BULU,https://m.media-amazon.com/images/I/61Ah67TnasL._AC_UL960_FMwebp_QL65_.jpg
2,B00BE27CYK,"Brasso Metal Polish Wadding, 75g","Brasso Metal Polish Wadding, 75g",Wipe,"PKR 3,379.64",,4.6,4784,2K+ bought in past month,,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-Wadding-Pack/dp/B00BE27CYK,https://m.media-amazon.com/images/I/71hkhaLTBzL._AC_UL960_FMwebp_QL65_.jpg
3,B01EX17UHM,Brasso Metal Polish 175ml (Pack of 2),Brasso Metal Polish 175ml (Pack of 2),Liquid,"PKR 3,142.80",,4.2,241,300+ bought in past month,,No featured offers available,https://www.amazon.co.uk/Pack-Brasso-Metal-Polish-175ml/dp/B01EX17UHM,https://m.media-amazon.com/images/I/81CfGXgkE-L._AC_UL960_FMwebp_QL65_.jpg
4,B0798LB9KW,"Brasso B150 Metal Polish, 150 mL","Brasso B150 Metal Polish, 150 mL",Liquid,"PKR 2,627.77",,4.3,67,50+ bought in past month,,No featured offers available,https://www.amazon.co.uk/Brasso-B150-Metal-Polish-150/dp/B0798LB9KW,https://m.media-amazon.com/images/I/61Syipok7KL._AC_UL960_FMwebp_QL65_.jpg
5,B0CSXLR79Q,"Brasso Metal Polish Liquid, 1L (Pack of 2)","Brasso Metal Polish Liquid, 1L (Pack of 2)",Liquid,"PKR 10,902.06",,4.7,1812,,,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-Liquid-Pack/dp/B0CSXLR79Q,https://m.media-amazon.com/images/I/712oFUjZ0zL._AC_UL960_FMwebp_QL65_.jpg
6,B0082AA2G2,"Brasso Metal Polish Liquid 175ml, Pack of 4","Brasso Metal Polish Liquid 175ml, Pack of 4",Liquid,"PKR 8,270.53",,4.7,116,,Amazon's Choice,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-Liquid-175ml/dp/B0082AA2G2,https://m.media-amazon.com/images/I/815fhQPtz9L._AC_UL960_FMwebp_QL65_.jpg
7,B01MYENZTJ,"Brasso 0592-W Wadding, 75g","Brasso 0592-W Wadding, 75g",Gel,"PKR 4,492.40",,4.7,76,,,No featured offers available,https://www.amazon.co.uk/Brasso-Wadding-75-g-by/dp/B01MYENZTJ,https://m.media-amazon.com/images/I/71Oedp3OsNL._AC_UL960_FMwebp_QL65_.jpg
8,B004G8YNIM,"Brasso Metal Polish Wadding, 75g","Brasso Metal Polish Wadding, 75g",Granule,"PKR 3,755.57",,4.6,2785,,,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-Wadding-75/dp/B004G8YNIM,https://m.media-amazon.com/images/I/71a0vxYvO0L._AC_UL960_FMwebp_QL65_.jpg
9,B0F94NH8V2,Brasso Liquid 1 Litre 06135,Brasso Liquid 1 Litre 06135,,"PKR 7,804.37",,5.0,3,,,No featured offers available,https://www.amazon.co.uk/Brasso-LIQUID-1-LITRE-06135/dp/B0F94NH8V2,https://m.media-amazon.com/images/I/21dsfMRmviL._AC_UL400_FMwebp_QL65_.jpg
10,B0CKXX6YCY,"Brasso Metal Polish, 175 ml (Pack of 6)","Brasso Metal Polish, 175 ml (Pack of 6)",,"PKR 11,259.19",,4.6,18,,,No featured offers available,https://www.amazon.co.uk/Brasso-Metal-Polish-175-Pack/dp/B0CKXX6YCY,https://m.media-amazon.com/images/I/810n3lfq1zL._AC_UL960_FMwebp_QL65_.jpg
